file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,52,css,3cc00c33,alexfrederick1,2025-01-18,21:53:11,-08:00,2025-01-18T21:53:11-08:00,0,0
style.css,53,css,3cc00c33,alexfrederick1,2025-01-18,21:53:11,-08:00,2025-01-18T21:53:11-08:00,0,0
style.css,54,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,39
style.css,55,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,13
style.css,56,css,3cc00c33,alexfrederick1,2025-01-18,21:53:11,-08:00,2025-01-18T21:53:11-08:00,0,0
style.css,57,css,3cc00c33,alexfrederick1,2025-01-18,21:53:11,-08:00,2025-01-18T21:53:11-08:00,0,0
style.css,58,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,26
style.css,59,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,17
style.css,60,css,3cc00c33,alexfrederick1,2025-01-18,21:53:11,-08:00,2025-01-18T21:53:11-08:00,0,0
style.css,61,css,3cc00c33,alexfrederick1,2025-01-18,21:53:11,-08:00,2025-01-18T21:53:11-08:00,0,0
style.css,62,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,12
style.css,63,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,12
style.css,64,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,25
style.css,65,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,12
style.css,66,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,12
style.css,67,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,15
style.css,68,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,38
style.css,69,css,0dbc52e5,alexfrederick1,2025-02-07,23:35:32,-08:00,2025-02-07T23:35:32-08:00,0,0
style.css,70,css,0dbc52e5,alexfrederick1,2025-02-07,23:35:32,-08:00,2025-02-07T23:35:32-08:00,0,0
style.css,71,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,18
style.css,72,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,25
style.css,73,css,3cc00c33,alexfrederick1,2025-01-18,21:53:11,-08:00,2025-01-18T21:53:11-08:00,0,0
style.css,74,css,3cc00c33,alexfrederick1,2025-01-18,21:53:11,-08:00,2025-01-18T21:53:11-08:00,0,0
style.css,75,css,3cc00c33,alexfrederick1,2025-01-18,21:53:11,-08:00,2025-01-18T21:53:11-08:00,0,10
style.css,76,css,3cc00c33,alexfrederick1,2025-01-18,21:53:11,-08:00,2025-01-18T21:53:11-08:00,0,13
style.css,77,css,3cc00c33,alexfrederick1,2025-01-18,21:53:11,-08:00,2025-01-18T21:53:11-08:00,0,59
style.css,78,css,3cc00c33,alexfrederick1,2025-01-18,21:53:11,-08:00,2025-01-18T21:53:11-08:00,0,8
style.css,79,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,15
style.css,80,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,0
style.css,81,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,0
style.css,82,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,18
style.css,83,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,13
style.css,84,css,3cc00c33,alexfrederick1,2025-01-18,21:53:11,-08:00,2025-01-18T21:53:11-08:00,0,27
style.css,85,css,3cc00c33,alexfrederick1,2025-01-18,21:53:11,-08:00,2025-01-18T21:53:11-08:00,0,16
style.css,86,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,8
style.css,87,css,3cc00c33,alexfrederick1,2025-01-18,21:53:11,-08:00,2025-01-18T21:53:11-08:00,0,0
style.css,88,css,3cc00c33,alexfrederick1,2025-01-18,21:53:11,-08:00,2025-01-18T21:53:11-08:00,0,0
style.css,89,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,13
style.css,90,css,3cc00c33,alexfrederick1,2025-01-18,21:53:11,-08:00,2025-01-18T21:53:11-08:00,0,9
style.css,91,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,16
style.css,92,css,3cc00c33,alexfrederick1,2025-01-18,21:53:11,-08:00,2025-01-18T21:53:11-08:00,0,0
style.css,93,css,3cc00c33,alexfrederick1,2025-01-18,21:53:11,-08:00,2025-01-18T21:53:11-08:00,0,0
style.css,94,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,14
style.css,95,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,15
style.css,96,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,12
style.css,97,css,3cc00c33,alexfrederick1,2025-01-18,21:53:11,-08:00,2025-01-18T21:53:11-08:00,0,0
style.css,98,css,3cc00c33,alexfrederick1,2025-01-18,21:53:11,-08:00,2025-01-18T21:53:11-08:00,0,0
style.css,99,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,12
style.css,100,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,17
style.css,101,css,3cc00c33,alexfrederick1,2025-01-18,21:53:11,-08:00,2025-01-18T21:53:11-08:00,0,0
style.css,102,css,3cc00c33,alexfrederick1,2025-01-18,21:53:11,-08:00,2025-01-18T21:53:11-08:00,0,0
style.css,103,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,3
style.css,104,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,14
style.css,105,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,18
style.css,106,css,3cc00c33,alexfrederick1,2025-01-18,21:53:11,-08:00,2025-01-18T21:53:11-08:00,0,0
style.css,107,css,3cc00c33,alexfrederick1,2025-01-18,21:53:11,-08:00,2025-01-18T21:53:11-08:00,0,0
style.css,108,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,3
style.css,109,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,16
style.css,110,css,3cc00c33,alexfrederick1,2025-01-18,21:53:11,-08:00,2025-01-18T21:53:11-08:00,0,0
style.css,111,css,3cc00c33,alexfrederick1,2025-01-18,21:53:11,-08:00,2025-01-18T21:53:11-08:00,0,0
style.css,112,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,23
style.css,113,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,16
style.css,114,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,21
style.css,115,css,c3945fff,alexfrederick1,2025-01-25,19:51:09,-08:00,2025-01-25T19:51:09-08:00,0,0
style.css,116,css,c3945fff,alexfrederick1,2025-01-25,19:51:09,-08:00,2025-01-25T19:51:09-08:00,0,0
style.css,117,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,5
style.css,118,css,ab483f72,alexfrederick1,2025-02-07,23:36:46,-08:00,2025-02-07T23:36:46-08:00,0,24
style.css,119,css,c3945fff,alexfrederick1,2025-01-25,19:51:09,-08:00,2025-01-25T19:51:09-08:00,0,0
